 -45.3038,   0.1534,-384.7457,
 -43.4513,   0.1531,-384.7441,
 -41.5985,   0.1516,-384.7418,
 -39.7456,   0.1494,-384.7393,
 -37.8927,   0.1474,-384.7366,
 -36.0395,   0.1463,-384.7338,
 -34.1869,   0.1458,-384.7307,
 -32.3344,   0.1438,-384.7276,
 -30.4816,   0.1407,-384.7242,
 -28.6284,   0.1384,-384.7205,
 -26.7756,   0.1378,-384.7161,
 -24.9230,   0.1379,-384.7113,
 -23.0704,   0.1379,-384.7064,
 -21.2173,   0.1388,-384.7013,
 -19.3644,   0.1411,-384.6958,
 -17.5120,   0.1437,-384.6903,
 -15.6599,   0.1445,-384.6842,
 -13.8072,   0.1440,-384.6774,
 -11.9530,   0.1446,-384.6702,
 -10.0921,   0.1474,-384.6623,
  -8.2197,   0.1514,-384.6541,
  -6.3327,   0.1550,-384.6457,
  -4.4280,   0.1580,-384.6365,
  -2.5036,   0.1614,-384.6267,
  -0.5583,   0.1656,-384.6161,
   1.4079,   0.1693,-384.6051,
   3.3956,   0.1715,-384.5930,
   5.4055,   0.1722,-384.5799,
   7.4379,   0.1722,-384.5660,
   9.4930,   0.1720,-384.5515,
  11.5704,   0.1717,-384.5359,
  13.6701,   0.1715,-384.5194,
  15.7917,   0.1703,-384.5019,
  17.9350,   0.1685,-384.4832,
  20.1005,   0.1673,-384.4630,
  22.2868,   0.1647,-384.4415,
  24.4933,   0.1598,-384.4188,
  26.7167,   0.1549,-384.3948,
  28.9485,   0.1508,-384.3697,
  31.1821,   0.1480,-384.3438,
  33.4155,   0.1462,-384.3169,
  35.6519,   0.1456,-384.2885,
  37.8972,   0.1484,-384.2587,
  40.1500,   0.1518,-384.2279,
  42.4114,   0.1545,-384.1965,
  44.6835,   0.1579,-384.1642,
  46.9679,   0.1639,-384.1310,
  49.2652,   0.1702,-384.0970,
  51.5766,   0.1738,-384.0621,
  53.9037,   0.1748,-384.0266,
  56.2478,   0.1761,-383.9909,
  58.6091,   0.1782,-383.9550,
  60.9874,   0.1795,-383.9187,
  63.3829,   0.1799,-383.8826,
  65.7963,   0.1801,-383.8489,
  68.2271,   0.1790,-383.8183,
  70.6755,   0.1755,-383.7916,
  73.1421,   0.1713,-383.7699,
  75.6268,   0.1670,-383.7540,
  78.1293,   0.1623,-383.7438,
  80.6497,   0.1584,-383.7394,
  83.1882,   0.1558,-383.7397,
  85.7442,   0.1545,-383.7436,
  88.3177,   0.1542,-383.7501,
  90.9086,   0.1552,-383.7576,
  93.5165,   0.1559,-383.7657,
  96.1412,   0.1550,-383.7750,
  98.7832,   0.1530,-383.7851,
 101.4425,   0.1515,-383.7957,
 104.1191,   0.1511,-383.8065,
 106.8125,   0.1509,-383.8170,
 109.5223,   0.1502,-383.8283,
 112.2488,   0.1496,-383.8412,
 114.9917,   0.1484,-383.8542,
 117.7510,   0.1468,-383.8670,
 120.5268,   0.1455,-383.8798,
 123.3189,   0.1438,-383.8932,
 126.1270,   0.1405,-383.9059,
 128.9516,   0.1366,-383.9166,
 131.7928,   0.1341,-383.9261,
 134.6504,   0.1338,-383.9342,
 137.5240,   0.1348,-383.9405,
 140.4131,   0.1363,-383.9457,
 143.3176,   0.1375,-383.9498,
 146.2381,   0.1406,-383.9517,
 149.1738,   0.1443,-383.9515,
 152.1246,   0.1475,-383.9492,
 155.0911,   0.1515,-383.9453,
 158.0728,   0.1567,-383.9398,
 161.0693,   0.1607,-383.9320,
 164.0806,   0.1636,-383.9223,
 167.1068,   0.1658,-383.9111,
 170.1477,   0.1661,-383.8982,
 173.2032,   0.1646,-383.8829,
 176.2739,   0.1635,-383.8649,
 179.3598,   0.1646,-383.8449,
 182.4600,   0.1672,-383.8236,
 185.5738,   0.1671,-383.8015,
 188.7016,   0.1641,-383.7776,
 191.8437,   0.1598,-383.7520,
 195.0004,   0.1557,-383.7245,
 198.1712,   0.1521,-383.6956,
 201.3563,   0.1505,-383.6651,
 204.5551,   0.1504,-383.6330,
 207.7672,   0.1497,-383.5996,
 210.9925,   0.1477,-383.5648,
 214.2304,   0.1445,-383.5281,
 217.4780,   0.1426,-383.4894,
 220.7292,   0.1409,-383.4491,
 223.9813,   0.1394,-383.4070,
 227.2323,   0.1402,-383.3622,
 230.4850,   0.1422,-383.3147,
 233.7415,   0.1471,-383.2641,
 237.0013,   0.1525,-383.2091,
 240.2651,   0.1566,-383.1489,
 243.5342,   0.1594,-383.0836,
 246.8093,   0.1598,-383.0124,
 250.0920,   0.1563,-382.9348,
 253.3835,   0.1511,-382.8509,
 256.6849,   0.1483,-382.7596,
 259.9963,   0.1490,-382.6623,
 263.3173,   0.1499,-382.5587,
 266.6479,   0.1491,-382.4472,
 269.9889,   0.1480,-382.3277,
 273.3404,   0.1473,-382.2005,
 276.7023,   0.1471,-382.0665,
 280.0751,   0.1484,-381.9279,
 283.4581,   0.1494,-381.7867,
 286.8521,   0.1493,-381.6475,
 290.2578,   0.1520,-381.5159,
 293.6745,   0.1578,-381.3959,
 297.1018,   0.1637,-381.2903,
 300.5398,   0.1682,-381.2014,
 303.9886,   0.1711,-381.1295,
 307.4482,   0.1720,-381.0739,
 310.9186,   0.1720,-381.0331,
 314.3999,   0.1703,-381.0073,
 317.8921,   0.1674,-380.9950,
 321.3956,   0.1668,-380.9940,
 324.9100,   0.1690,-381.0033,
 328.4344,   0.1708,-381.0219,
 331.9688,   0.1694,-381.0491,
 335.5133,   0.1647,-381.0843,
 339.0683,   0.1565,-381.1268,
 342.6344,   0.1482,-381.1773,
 346.2119,   0.1446,-381.2357,
 349.7998,   0.1458,-381.3018,
 353.3977,   0.1493,-381.3755,
 357.0051,   0.1521,-381.4544,
 360.6220,   0.1517,-381.5387,
 364.2487,   0.1476,-381.6275,
 367.8858,   0.1421,-381.7206,
 371.5331,   0.1365,-381.8173,
 375.1908,   0.1320,-381.9165,
 378.8588,   0.1301,-382.0169,
 382.5367,   0.1292,-382.1183,
 386.2248,   0.1305,-382.2198,
 389.9229,   0.1344,-382.3206,
 393.6308,   0.1397,-382.4202,
 397.3480,   0.1439,-382.5175,
 401.0746,   0.1458,-382.6119,
 404.8112,   0.1474,-382.7039,
 408.5577,   0.1502,-382.7935,
 412.3142,   0.1553,-382.8799,
 416.0798,   0.1584,-382.9629,
 419.8546,   0.1581,-383.0426,
 423.6392,   0.1566,-383.1198,
 427.4335,   0.1540,-383.1938,
 431.2378,   0.1510,-383.2645,
 435.0518,   0.1495,-383.3331,
 438.8750,   0.1464,-383.4001,
 442.7076,   0.1421,-383.4651,
 446.5499,   0.1399,-383.5282,
 450.4013,   0.1381,-383.5901,
