0, 207.9482,  -8.2605, 198.8216,
1, 206.3586,  -8.2597, 201.7745,
2, 204.7534,  -8.2578, 204.7313,
3, 203.1299,  -8.2520, 207.6906,
4, 201.4874,  -8.2405, 210.6519,
5, 199.8245,  -8.2220, 213.6142,
6, 198.1410,  -8.1977, 216.5763,
7, 196.4361,  -8.1708, 219.5374,
8, 194.7077,  -8.1401, 222.4963,
9,   4.8498,  -7.3552, 213.1515,
10,   4.3762,  -7.2943, 210.4238,
11,   3.9041,  -7.2310, 207.6804,
12,   3.4298,  -7.1668, 204.9226,
13,   2.9496,  -7.1036, 202.1514,
14,   2.4588,  -7.0412, 199.3674,
15,   1.9549,  -6.9794, 196.5711,
16,   1.4338,  -6.9176, 193.7637,
17,   0.8915,  -6.8535, 190.9458,
18,   0.3216,  -6.7856, 188.1198,
19,  -0.2765,  -6.7159, 185.3000,
20,  -0.9001,  -6.6474, 182.5099,
21,  -1.5456,  -6.5812, 179.7744,
22,  -2.2083,  -6.5182, 177.1058,
23,  -2.8933,  -6.4597, 174.4852,
24,  -3.6174,  -6.4001, 171.8881,
25,  -4.3871,  -6.3363, 169.3218,
26,  -5.2010,  -6.2679, 166.7958,
27,  -6.0524,  -6.1957, 164.3177,
28,  -6.9337,  -6.1234, 161.9041,
29,  -7.8560,  -6.0540, 159.5365,
30,  -8.8189,  -5.9838, 157.2028,
31,  -9.8364,  -5.9113, 154.9099,
32, -10.9051,  -5.8382, 152.6530,
33, -12.0242,  -5.7643, 150.4316,
34, -13.1978,  -5.6885, 148.2440,
35, -14.4302,  -5.6119, 146.0939,
36, -15.7141,  -5.5347, 143.9907,
37, -17.0453,  -5.4561, 141.9397,
38, -18.1443,  -5.3939, 140.3354,
39, -18.1443,  -5.3939, 140.3354,
40, -81.6124,   0.1483,-384.7542,
41, -81.6124,   0.1483,-384.7542,
42, -81.6124,   0.1483,-384.7542,
43, -81.6124,   0.1483,-384.7542,
44, -81.6124,   0.1483,-384.7542,
45, -81.6124,   0.1483,-384.7542,
46, -79.7595,   0.1514,-384.7545,
47, -77.9074,   0.1549,-384.7549,
48, -76.0556,   0.1584,-384.7553,
